model,epoch,train_loss,val_loss,accuracy,precision,recall,f1
unet_256_firstborn,0,0.41057014073196213,0.5795932412147522,0.8275442810058594,0.8763644888125811,0.7674625437332536,0.8183061922031538
unet_256_firstborn,1,0.3458082679855196,0.5951711535453796,0.7577652587890625,0.9671043629629645,0.5396483271058,0.6927430825902374
unet_256_firstborn,2,0.32321599047434957,0.5774570107460022,0.8072804870605469,0.9593812766183658,0.6465176473312795,0.7724731819702423
unet_256_firstborn,3,0.30200715912015813,0.5967909097671509,0.7499615173339844,0.9859856949590519,0.5131644240068454,0.6750128287107995
unet_256_firstborn,4,0.3082860810192008,0.5560969114303589,0.867124267578125,0.952534402162134,0.7760820022478464,0.8553023147923521
unet_256_firstborn,5,0.3082303667539044,0.5831152200698853,0.8556244201660156,0.8068156580389563,0.9396806166789818,0.8681942768125825
unet_256_firstborn,6,0.30682975838058874,0.5481305122375488,0.8959641418457032,0.9313031243563846,0.8576681765690839,0.8929702249405825
unet_256_firstborn,7,0.2716374640402041,0.5549725294113159,0.8647657165527344,0.9716125275838579,0.7548010988828073,0.8495926958240542
unet_256_firstborn,8,0.26293065555785833,0.5667117238044739,0.8306119384765625,0.9827437229332652,0.6771431676493456,0.8018114984942979
unet_256_firstborn,9,0.27431754414972503,0.5540056228637695,0.8783982238769531,0.9350569151269674,0.8163901728728505,0.8717034980008928
unet_256_firstborn,10,0.26093449325937973,0.5482933521270752,0.8939384765625,0.9357471323527162,0.8486737754387438,0.8900860197302359
unet_256_firstborn,11,0.25540266715382276,0.5525009632110596,0.8976168518066406,0.8962842148086463,0.902052287638461,0.8991590008234964
unet_256_firstborn,12,0.23968991401948428,0.5589279532432556,0.8517621765136719,0.9810135063334402,0.7210046990556295,0.8311489802681193
unet_256_firstborn,13,0.22800532336297788,0.555259108543396,0.8612598571777343,0.982126227762743,0.7392739393351653,0.8435694839586391
unet_256_firstborn,14,0.22804182218877891,0.5523699522018433,0.8691624145507812,0.9813261135761806,0.755819661829141,0.8539359008419367
