model,epoch,train_loss,val_loss,accuracy,precision,recall,f1
unet_128_baby,0,0.13636335730552673,0.5505596399307251,0.8563191528320313,0.9745396877990641,0.7460752105879039,0.8451396108246831
unet_128_baby,1,0.3334907591342926,0.5285683870315552,0.9121327514648437,0.9845845750593649,0.846039960161792,0.9100696277497514
unet_128_baby,2,0.15641912817955017,0.5497727990150452,0.8678919677734375,0.9430798849886484,0.7966907573615027,0.8637265275485524
unet_128_baby,3,0.1564364731311798,0.5410119891166687,0.878724853515625,0.9857477579049263,0.7805051786766862,0.8712016427304912
unet_128_baby,4,0.17645639181137085,0.5288010239601135,0.9113098754882812,0.9852724315378266,0.8438413092019873,0.9090889866840394
unet_128_baby,5,0.36890870332717896,0.5383260846138,0.8847234497070312,0.9898832845913678,0.7886959374900187,0.8779107677113781
unet_128_baby,6,0.09407258778810501,0.5514049530029297,0.8518783569335937,0.982756768354517,0.7309582947388594,0.838358986286565
unet_128_baby,7,0.21073219180107117,0.5401565432548523,0.8789446411132813,0.9933711424608733,0.7748090117975684,0.8705820064597711
unet_128_baby,8,0.15044540166854858,0.5439121127128601,0.8704705200195313,0.9878043168739207,0.7629322314913486,0.8609265082780149
unet_128_baby,9,0.3277779817581177,0.539359450340271,0.8826401977539062,0.9874762312580134,0.7866478122377633,0.8756952703547044
unet_128_baby,10,0.21745076775550842,0.549001932144165,0.8564359741210937,0.9898835083948421,0.734310511537691,0.8431555347124835
unet_128_baby,11,0.29017913341522217,0.5463042855262756,0.8626707153320312,0.9934573176957816,0.7435672618200718,0.8505375757665535
unet_128_baby,12,0.29624155163764954,0.532017171382904,0.9042955322265624,0.9800649530645321,0.8348614518878142,0.9016546868535987
unet_128_baby,13,0.25249555706977844,0.5344316959381104,0.8978184814453125,0.9801893455957992,0.822171414633863,0.8942534465462403
unet_128_baby,14,0.19253456592559814,0.5498467683792114,0.85324267578125,0.9937154906138925,0.7253163682188662,0.838562830574065
unet_128_baby,15,0.21671470999717712,0.5329968333244324,0.8989365844726562,0.9895557251392495,0.8162977760872027,0.8946153574439201
unet_128_baby,16,0.15227890014648438,0.538569986820221,0.8923696899414062,0.961678526450316,0.8281877970806607,0.8899551992793044
unet_128_baby,17,0.24129341542720795,0.5428854823112488,0.87251025390625,0.9903854556064664,0.7648191455691609,0.8631082181914461
unet_128_baby,18,0.07803036272525787,0.5310302972793579,0.9057216796875,0.9841229293361884,0.8340497048430137,0.902892743309423
unet_128_baby,19,0.3475313186645508,0.5341547727584839,0.8965835571289062,0.9870150448630334,0.8139121294567544,0.8921443669966824
unet_128_baby,20,0.19107848405838013,0.5614607930183411,0.8231643676757813,0.9910093430631839,0.6695664546027358,0.7991765425530993
unet_128_baby,21,0.11411665380001068,0.5478746294975281,0.85897900390625,0.9916313968561936,0.7378722564047469,0.8461355891795563
unet_128_baby,22,0.2925539016723633,0.5405330657958984,0.8790617065429688,0.989191020291284,0.7783666915413495,0.8712058866448419
unet_128_baby,23,0.208746999502182,0.5460146069526672,0.863868408203125,0.9917618863715376,0.7471557203543626,0.8522549472911618
unet_128_baby,24,0.23475487530231476,0.5354511737823486,0.9003873291015625,0.9629570457567579,0.8428661442015372,0.898918450822914
unet_128_baby,25,0.1058824434876442,0.5422942638397217,0.8742802734375,0.9896152749628155,0.7688304930704166,0.8653623712838876
unet_128_baby,26,0.28627508878707886,0.5421701669692993,0.87492578125,0.9884268472248837,0.7710185747097067,0.8662905361556259
unet_128_baby,27,0.13176876306533813,0.5325340628623962,0.9003279418945312,0.9889730134028881,0.8194668300459068,0.8962759621007651
unet_128_baby,28,0.0888620987534523,0.5501528382301331,0.8538167724609375,0.9881789347687528,0.7305610741217156,0.8400631395962571
unet_128_baby,29,0.3336901068687439,0.5349022150039673,0.8939143676757813,0.9894567320157157,0.806721274822659,0.8887936420495388
