model,epoch,train_loss,val_loss
unet_128_1e-2,0,0.8204220645129681,1.0274636552333831
unet_128_1e-2,1,0.6681730821728706,0.9609892320632935
unet_128_1e-2,2,0.6634254194796085,0.8114601720571518
unet_128_1e-2,3,0.6526393666863441,0.8021416299343109
unet_128_1e-2,4,0.6441097036004066,0.7971666417121888
unet_128_1e-2,5,0.6684378497302532,0.778655464887619
unet_128_1e-2,6,0.6354192532598972,0.7925557751655579
unet_128_1e-2,7,0.6193020548671484,0.9145091249942779
unet_128_1e-2,8,0.5665756482630968,0.7892853846549988
unet_128_1e-2,9,0.6286583952605724,0.8346530618667602
